Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
61,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/.git/p0rtal.bak,404,Not Found,10,434,0,216,272,,404 Not Found,"[/.git, p0rtal.bak]"
69,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/backdoor.php,404,Not Found,2,435,0,216,272,,404 Not Found,"[/asd, backdoor.php]"
70,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/config.inc,404,Not Found,4,433,0,216,272,,404 Not Found,"[/asd, config.inc]"
71,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/portal.bak,404,Not Found,3,433,0,216,272,,404 Not Found,"[/asd, portal.bak]"
72,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/portal.zip,404,Not Found,2,433,0,216,272,,404 Not Found,"[/asd, portal.zip]"
76,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/backd00r.php,404,Not Found,3,435,0,216,272,,404 Not Found,"[/asd, backd00r.php]"
75,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/wp-config.bak,404,Not Found,2,436,0,216,272,,404 Not Found,"[/asd, wp-config.bak]"
73,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/web.config,404,Not Found,3,433,0,216,272,,404 Not Found,"[/asd, web.config]"
74,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/web.config.bak,404,Not Found,3,437,0,216,272,,404 Not Found,"[/asd, web.config.bak]"
81,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/web.c0nfig.bak,404,Not Found,3,437,0,216,272,,404 Not Found,"[/asd, web.c0nfig.bak]"
79,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/p0rtal.zip,404,Not Found,4,433,0,216,272,,404 Not Found,"[/asd, p0rtal.zip]"
80,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/web.c0nfig,404,Not Found,3,433,0,216,272,,404 Not Found,"[/asd, web.c0nfig]"
78,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/p0rtal.bak,404,Not Found,6,433,0,216,272,,404 Not Found,"[/asd, p0rtal.bak]"
83,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/config.inc.old,404,Not Found,6,437,0,216,272,,404 Not Found,"[/asd, config.inc.old]"
84,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/old-passwords.txt,404,Not Found,5,440,0,216,272,,404 Not Found,"[/asd, old-passwords.txt]"
77,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/c0nfig.inc,404,Not Found,11,433,0,216,272,,404 Not Found,"[/asd, c0nfig.inc]"
86,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/backdoor.php,404,Not Found,3,436,0,216,272,,404 Not Found,"[/sadf, backdoor.php]"
82,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/wp-c0nfig.bak,404,Not Found,12,436,0,216,272,,404 Not Found,"[/asd, wp-c0nfig.bak]"
85,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/asd/settings.php.old,404,Not Found,10,439,0,216,272,,404 Not Found,"[/asd, settings.php.old]"
88,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/portal.bak,404,Not Found,6,434,0,216,272,,404 Not Found,"[/sadf, portal.bak]"
90,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/web.config,404,Not Found,2,434,0,216,272,,404 Not Found,"[/sadf, web.config]"
89,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/portal.zip,404,Not Found,7,434,0,216,272,,404 Not Found,"[/sadf, portal.zip]"
87,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/config.inc,404,Not Found,10,434,0,216,272,,404 Not Found,"[/sadf, config.inc]"
91,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/web.config.bak,404,Not Found,3,438,0,216,272,,404 Not Found,"[/sadf, web.config.bak]"
92,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/wp-config.bak,404,Not Found,3,437,0,216,272,,404 Not Found,"[/sadf, wp-config.bak]"
94,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/c0nfig.inc,404,Not Found,2,434,0,216,272,,404 Not Found,"[/sadf, c0nfig.inc]"
96,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/p0rtal.zip,404,Not Found,3,434,0,216,272,,404 Not Found,"[/sadf, p0rtal.zip]"
95,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/p0rtal.bak,404,Not Found,3,434,0,216,272,,404 Not Found,"[/sadf, p0rtal.bak]"
97,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/web.c0nfig,404,Not Found,4,434,0,216,272,,404 Not Found,"[/sadf, web.c0nfig]"
93,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/backd00r.php,404,Not Found,6,436,0,216,272,,404 Not Found,"[/sadf, backd00r.php]"
99,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/wp-c0nfig.bak,404,Not Found,2,437,0,216,272,,404 Not Found,"[/sadf, wp-c0nfig.bak]"
101,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/old-passwords.txt,404,Not Found,3,441,0,216,272,,404 Not Found,"[/sadf, old-passwords.txt]"
98,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/web.c0nfig.bak,404,Not Found,6,438,0,216,272,,404 Not Found,"[/sadf, web.c0nfig.bak]"
100,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/config.inc.old,404,Not Found,4,438,0,216,272,,404 Not Found,"[/sadf, config.inc.old]"
102,Fuzzed,Mon Aug 17 18:45:06 IST 2020,GET,http://10.10.10.8/sadf/settings.php.old,404,Not Found,3,440,0,216,272,,404 Not Found,"[/sadf, settings.php.old]"
